Article#,Article Status,Stock Available,MOP,NLC,PED,m,c,Price,Units,Discount,Discount_Per,Discount_Per_Unit,GP_per_unit,GP,GMV,GP_PER
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,33376.0,33,660.0,1.94,20.0,3399.7700000000004,112192.41000000002,1101408.0,10.19
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,33476.0,22,560.0,1.65,25.45,3499.7700000000004,76994.94,736472.0,10.45
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,33576.0,10,460.0,1.35,46.0,3599.7700000000004,35997.700000000004,335760.0,10.72
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,33676.0,-1,360.0,1.06,-360.0,3699.7700000000004,-3699.7700000000004,-33676.0,10.99
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,33776.0,-13,260.0,0.76,-20.0,3799.7700000000004,-49397.01000000001,-439088.0,11.25
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,33876.0,-24,160.0,0.47,-6.67,3899.7700000000004,-93594.48000000001,-813024.0,11.51
IFB,Active,1000,34036,29976.23,-14.13256262,-0.117591806,3958.678381,33976.0,-36,60.0,0.18,-1.67,3999.7700000000004,-143991.72000000003,-1223136.0,11.77
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,28263.0,999,4161.0,12.83,4.17,1199.130000000001,1197930.870000001,28234737.0,4.24
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,28363.0,979,4061.0,12.52,4.15,1299.130000000001,1271848.270000001,27767377.0,4.58
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,28463.0,958,3961.0,12.22,4.13,1399.130000000001,1340366.540000001,27267554.0,4.92
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,28563.0,938,3861.0,11.91,4.12,1499.130000000001,1406183.9400000009,26792094.0,5.25
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,28663.0,918,3761.0,11.6,4.1,1599.130000000001,1468001.340000001,26312634.0,5.58
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,28763.0,898,3661.0,11.29,4.08,1699.130000000001,1525818.740000001,25829174.0,5.91
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,28863.0,878,3561.0,10.98,4.06,1799.130000000001,1579636.1400000008,25341714.0,6.23
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,28963.0,857,3461.0,10.67,4.04,1899.130000000001,1627554.4100000008,24821291.0,6.56
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29063.0,837,3361.0,10.37,4.02,1999.130000000001,1673271.8100000008,24325731.0,6.88
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29163.0,817,3261.0,10.06,3.99,2099.130000000001,1714989.210000001,23826171.0,7.2
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29263.0,797,3161.0,9.75,3.97,2199.130000000001,1752706.6100000008,23322611.0,7.52
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29363.0,776,3061.0,9.44,3.94,2299.130000000001,1784124.8800000008,22785688.0,7.83
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29463.0,756,2961.0,9.13,3.92,2399.130000000001,1813742.2800000007,22274028.0,8.14
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29563.0,736,2861.0,8.82,3.89,2499.130000000001,1839359.6800000006,21758368.0,8.45
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29663.0,716,2761.0,8.52,3.86,2599.130000000001,1860977.0800000008,21238708.0,8.76
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29763.0,696,2661.0,8.21,3.82,2699.130000000001,1878594.4800000007,20715048.0,9.07
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29863.0,675,2561.0,7.9,3.79,2799.130000000001,1889412.7500000007,20157525.0,9.37
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,29963.0,655,2461.0,7.59,3.76,2899.130000000001,1898930.1500000006,19625765.0,9.68
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30063.0,635,2361.0,7.28,3.72,2999.130000000001,1904447.5500000007,19090005.0,9.98
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30163.0,615,2261.0,6.97,3.68,3099.130000000001,1905964.9500000007,18550245.0,10.27
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30263.0,594,2161.0,6.66,3.64,3199.130000000001,1900283.2200000007,17976222.0,10.57
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30363.0,574,2061.0,6.36,3.59,3299.130000000001,1893700.6200000006,17428362.0,10.87
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30463.0,554,1961.0,6.05,3.54,3399.130000000001,1883118.0200000005,16876502.0,11.16
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30563.0,534,1861.0,5.74,3.49,3499.130000000001,1868535.4200000006,16320642.0,11.45
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30663.0,514,1761.0,5.43,3.43,3599.130000000001,1849952.8200000005,15760782.0,11.74
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30763.0,493,1661.0,5.12,3.37,3699.130000000001,1823671.0900000005,15166159.0,12.02
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30863.0,473,1561.0,4.81,3.3,3799.130000000001,1796988.4900000005,14598199.0,12.31
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,30963.0,453,1461.0,4.51,3.23,3899.130000000001,1766305.8900000004,14026239.0,12.59
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,31063.0,433,1361.0,4.2,3.14,3999.130000000001,1731623.2900000005,13450279.0,12.87
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,31163.0,412,1261.0,3.89,3.06,4099.130000000001,1688841.5600000005,12839156.0,13.15
LG,Active,1000,32424,27063.87,-4.707777002,-0.202215462,6714.611669,31263.0,392,1161.0,3.58,2.96,4199.130000000001,1646058.9600000004,12255096.0,13.43
